dataset_id,estimator,description,correct_models,tau_hat,matched_cohort,sim_id
1,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.558459983869474,TRUE,2
2,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.701678553301499,TRUE,2
3,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.500657902411276,TRUE,2
4,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.615123240183296,TRUE,2
5,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.6045872221327935,TRUE,2
6,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.551365936278978,TRUE,2
7,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.575779156433372,TRUE,2
8,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.559534414528813,TRUE,2
9,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.519556065278353,TRUE,2
10,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.602739701999257,TRUE,2
11,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.472593111113343,TRUE,2
12,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.477660405562586,TRUE,2
13,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.560780688818389,TRUE,2
14,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.453868365998603,TRUE,2
15,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.528100757421267,TRUE,2
16,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.5706830402381815,TRUE,2
17,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.517138322948572,TRUE,2
18,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.618930624101356,TRUE,2
19,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.44342626592316,TRUE,2
20,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.4566020368563874,TRUE,2
21,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.581096518322448,TRUE,2
22,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.60699095259535,TRUE,2
23,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.603052106320874,TRUE,2
24,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.523958620839745,TRUE,2
25,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.466624263516271,TRUE,2
26,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.68307365815313,TRUE,2
27,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.55983777058072,TRUE,2
28,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.4760237558246,TRUE,2
29,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.4756248126427085,TRUE,2
30,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.5949565431359005,TRUE,2
31,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.575834875635559,TRUE,2
32,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.59374632001046,TRUE,2
33,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.463337314806721,TRUE,2
34,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.668972025835224,TRUE,2
35,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.494956803117137,TRUE,2
36,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.6321886749778765,TRUE,2
37,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.47279536896943,TRUE,2
38,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.580497363153821,TRUE,2
39,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.53995937307511,TRUE,2
40,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.492305251783072,TRUE,2
41,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.660423702607967,TRUE,2
42,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.591079190929331,TRUE,2
43,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.677363268766394,TRUE,2
44,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.759887785980641,TRUE,2
45,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.532396531286986,TRUE,2
46,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.594817629519948,TRUE,2
47,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.575250075034411,TRUE,2
48,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.48574684874738,TRUE,2
49,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.356894532280581,TRUE,2
50,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.502040373721856,TRUE,2
51,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.576113775671056,TRUE,2
52,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.658236085637718,TRUE,2
53,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.724900804026269,TRUE,2
54,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.61335773145592,TRUE,2
55,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.593848925945855,TRUE,2
56,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.458465449713088,TRUE,2
57,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.547238843930119,TRUE,2
58,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.616344370740139,TRUE,2
59,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.7204572726394005,TRUE,2
60,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.720353365707709,TRUE,2
61,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.628254973329407,TRUE,2
62,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.532347955096242,TRUE,2
63,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.466109917497223,TRUE,2
64,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.5715354893468785,TRUE,2
65,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.585050963008217,TRUE,2
66,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.408140070751235,TRUE,2
67,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.76130329437647,TRUE,2
68,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.505446401455029,TRUE,2
69,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta interactions)",---,5.511263710906636,TRUE,2
