dataset_id,estimator,description,correct_models,tau_hat,matched_cohort,sim_id
1,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.967641119104121,TRUE,1
2,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.538158597600438,TRUE,1
3,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.563055516824817,TRUE,1
4,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.7872722175540465,TRUE,1
5,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.320420287899057,TRUE,1
6,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.690201796277094,TRUE,1
7,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.187611053030057,TRUE,1
8,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.5539261666064785,TRUE,1
9,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.751589422074606,TRUE,1
10,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.842932425855852,TRUE,1
11,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.60847721180977,TRUE,1
12,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.4867907765195305,TRUE,1
13,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.677804561602122,TRUE,1
14,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.73790598689651,TRUE,1
15,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,8.115681660630676,TRUE,1
16,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.988789546012529,TRUE,1
17,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.350003109668099,TRUE,1
18,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.1937268433735495,TRUE,1
19,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.724975810845976,TRUE,1
20,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,6.504561506176631,TRUE,1
21,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.627256192519765,TRUE,1
22,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.8129509041546585,TRUE,1
23,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.576855819414188,TRUE,1
24,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions), removing LM/GLM candidates from SuperLearners",---,5.714105907223274,TRUE,1
