dataset_id,estimator,description,correct_models,tau_hat,matched_cohort,sim_id
1,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.25792424423734,TRUE,2
2,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.256287216508266,TRUE,2
3,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.133593193437174,TRUE,2
4,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.0805587701076735,TRUE,2
5,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.677799697035215,TRUE,2
6,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.014593648275351,TRUE,2
7,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.068495951830931,TRUE,2
8,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.168061259464692,TRUE,2
9,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.806635414758598,TRUE,2
10,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.850088774511447,TRUE,2
11,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.982335574138069,TRUE,2
12,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.847376922209019,TRUE,2
13,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.936886825036717,TRUE,2
14,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.841161658343786,TRUE,2
15,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.179240279837816,TRUE,2
16,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.896934398138444,TRUE,2
17,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.986891285107419,TRUE,2
18,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.019007525654733,TRUE,2
19,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.997188208342221,TRUE,2
20,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.127330757609425,TRUE,2
21,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.269832813659591,TRUE,2
22,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.287269708595523,TRUE,2
23,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.773245087439752,TRUE,2
24,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,5.058072166985182,TRUE,2
25,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation (mu parametric),mu,4.644833003307552,TRUE,2
