dataset_id,estimator,description,correct_models,tau_hat,matched_cohort,sim_id
1,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.560887905395517,TRUE,2
2,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.699676921670024,TRUE,2
3,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.491337733552236,TRUE,2
4,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.6207308751798655,TRUE,2
5,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.614937776793431,TRUE,2
6,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.5480754931324086,TRUE,2
7,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.5566237427044065,TRUE,2
8,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.591170789097209,TRUE,2
9,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.481128350133075,TRUE,2
10,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.611101220887055,TRUE,2
11,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.455645329185719,TRUE,2
12,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.4833717782310485,TRUE,2
13,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.568343367956945,TRUE,2
14,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.462508615750391,TRUE,2
15,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.521049810829444,TRUE,2
16,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.603195072247912,TRUE,2
17,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.522668473062878,TRUE,2
18,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.6052846878797205,TRUE,2
19,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.446902964047224,TRUE,2
20,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.446326970554382,TRUE,2
21,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.589775139124464,TRUE,2
22,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.6390019786165855,TRUE,2
23,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.60207137285132,TRUE,2
24,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.565951216306818,TRUE,2
25,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.460360272509558,TRUE,2
26,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.687970515607657,TRUE,2
27,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.578321790513439,TRUE,2
28,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.468546525941393,TRUE,2
29,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.466207603201877,TRUE,2
30,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.611524477075681,TRUE,2
31,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.567203554557142,TRUE,2
32,crossfit_iwor_cc,"Inverse Weighted Outcome Regression (Flexible mu, eta w/ select interactions)",---,5.592581417680818,TRUE,2
