dataset_id,estimator,description,correct_models,tau_hat,matched_cohort,sim_id
1,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.989693105671695,TRUE,1
2,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.799552625219588,TRUE,1
3,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.105211762945555,TRUE,1
4,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.7268336984405375,TRUE,1
5,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.011482233448565,TRUE,1
6,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.6696580807206605,TRUE,1
7,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.749152421520847,TRUE,1
8,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.733058273204936,TRUE,1
9,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.282605831337835,TRUE,1
10,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.991471304768107,TRUE,1
11,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.887009872604646,TRUE,1
12,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.227973313356162,TRUE,1
13,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.207586141597452,TRUE,1
14,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.48127379800538,TRUE,1
15,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.87268208410759,TRUE,1
16,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.811934157276705,TRUE,1
17,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.942197450378518,TRUE,1
18,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.829739573787806,TRUE,1
19,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.537631395679536,TRUE,1
20,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.0563480601857975,TRUE,1
21,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,2.8646196908924053,TRUE,1
22,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.960033293405605,TRUE,1
23,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.893363444043205,TRUE,1
24,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.98828897919927,TRUE,1
25,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.722281262131591,TRUE,1
26,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.5967436873899805,TRUE,1
27,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.72933260468506,TRUE,1
28,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.003252173836693,TRUE,1
29,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.814998113252402,TRUE,1
30,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.760692927124624,TRUE,1
31,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.352942332539831,TRUE,1
32,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.123747230288842,TRUE,1
33,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.100193289580022,TRUE,1
34,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.46404456862328,TRUE,1
35,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.791971383785027,TRUE,1
36,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.8901747341183635,TRUE,1
37,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.285033392593278,TRUE,1
38,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.491389536078189,TRUE,1
39,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.866166586953773,TRUE,1
40,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.969041826122364,TRUE,1
41,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.055016001434666,TRUE,1
42,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.114901667113387,TRUE,1
43,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.993348310199064,TRUE,1
44,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.117806425778364,TRUE,1
45,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.866859351471806,TRUE,1
46,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.0296480038676465,TRUE,1
47,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.653850470906666,TRUE,1
48,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.151622708025915,TRUE,1
49,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.48785105481763,TRUE,1
50,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.4128431858767065,TRUE,1
51,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.96667524827062,TRUE,1
52,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.534734355030179,TRUE,1
53,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.950024053748802,TRUE,1
54,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.381937712494668,TRUE,1
55,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.457459302698201,TRUE,1
56,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.753210645349659,TRUE,1
57,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.590522306661932,TRUE,1
58,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.204930416841757,TRUE,1
59,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.623910426495169,TRUE,1
60,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.733978468124717,TRUE,1
61,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.698685549226291,TRUE,1
62,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.125777413874586,TRUE,1
63,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.051046135991218,TRUE,1
64,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.671203773813843,TRUE,1
65,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.9870937060554255,TRUE,1
66,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.065925956190749,TRUE,1
67,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.327182122933434,TRUE,1
68,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.245966278309633,TRUE,1
69,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.411599557600786,TRUE,1
70,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.830467850521233,TRUE,1
71,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.873950422265735,TRUE,1
72,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.887912371694854,TRUE,1
73,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.606997252146216,TRUE,1
74,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.886710474874737,TRUE,1
75,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.34128903581434,TRUE,1
76,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.528080702398942,TRUE,1
77,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.486448344084009,TRUE,1
78,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.160215311760509,TRUE,1
79,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.251560846850962,TRUE,1
80,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.417847652348439,TRUE,1
81,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.635435201520354,TRUE,1
82,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.772333890081301,TRUE,1
83,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.896023992537467,TRUE,1
84,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.288626811497371,TRUE,1
85,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.940507479129748,TRUE,1
86,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.7187588465949455,TRUE,1
87,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.87211630028659,TRUE,1
88,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.252183935712529,TRUE,1
89,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.619769488294816,TRUE,1
90,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.902598148811469,TRUE,1
91,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.0759218202815175,TRUE,1
92,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.199684754049315,TRUE,1
93,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.083793350154747,TRUE,1
94,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.104793122189209,TRUE,1
95,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.209989343227475,TRUE,1
96,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.25953887943148,TRUE,1
97,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.734034894040025,TRUE,1
98,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,6.030786356111665,TRUE,1
99,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.605823576865395,TRUE,1
100,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.042968878839716,TRUE,1
101,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.144266701464809,TRUE,1
102,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.6993397106085775,TRUE,1
103,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.813936435078539,TRUE,1
104,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.825205085014562,TRUE,1
105,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.975838443721336,TRUE,1
106,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.420294911793281,TRUE,1
107,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.310709493793896,TRUE,1
108,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.740607998743325,TRUE,1
109,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.3576968944356445,TRUE,1
110,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.86478626164466,TRUE,1
111,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.163948456819012,TRUE,1
112,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.129252901389051,TRUE,1
113,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.309491303672136,TRUE,1
114,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.41900418722389,TRUE,1
115,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.735734952141373,TRUE,1
116,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.235817416837988,TRUE,1
117,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.880729513636008,TRUE,1
118,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.724739636017346,TRUE,1
119,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.558063870785029,TRUE,1
120,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.0586811717926174,TRUE,1
121,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.009528489172529,TRUE,1
122,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.533894445809921,TRUE,1
123,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.710261307629157,TRUE,1
124,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.998111123456444,TRUE,1
125,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.040515594350991,TRUE,1
126,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.9382321532899205,TRUE,1
127,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.2631438799539305,TRUE,1
128,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.632310384546346,TRUE,1
129,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.0478337763399495,TRUE,1
130,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.737143958591539,TRUE,1
131,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.264785921334158,TRUE,1
132,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.49882433199661,TRUE,1
133,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.369937261666547,TRUE,1
134,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.926916266086498,TRUE,1
135,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.723765585467086,TRUE,1
136,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.312007551874178,TRUE,1
137,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.987982587072559,TRUE,1
138,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.730689414485296,TRUE,1
139,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.824870045111918,TRUE,1
140,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.612978178319902,TRUE,1
141,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.176289966940531,TRUE,1
142,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.907728421611355,TRUE,1
143,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.284619134525023,TRUE,1
144,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.283221606879517,TRUE,1
145,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.983934366892363,TRUE,1
146,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.260963224722286,TRUE,1
147,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.150348882437733,TRUE,1
148,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,4.801658788884113,TRUE,1
149,efficient_influence_function,EIF estimator w/ non-parametric nuisance fx estimation,---,5.01409268064286,TRUE,1
