dataset_id,estimator,description,correct_models,tau_hat,matched_cohort,sim_id
1,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.758033712092415,TRUE,2
2,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.5329916356479085,TRUE,2
3,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.6044568372314965,TRUE,2
4,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.62509918770119,TRUE,2
5,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.30148277007347,TRUE,2
6,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.433719459833912,TRUE,2
7,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.542598752130167,TRUE,2
8,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.644577814422472,TRUE,2
9,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.362262850173973,TRUE,2
10,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.407819394573138,TRUE,2
11,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.416740997534285,TRUE,2
12,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.484544259888832,TRUE,2
13,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.5370428451302764,TRUE,2
14,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.270800230393989,TRUE,2
15,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.476763696650804,TRUE,2
16,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.601592954960109,TRUE,2
17,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.591519389354879,TRUE,2
18,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.669474339159528,TRUE,2
19,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.503348839782648,TRUE,2
20,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.423452471036667,TRUE,2
21,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.602548698722105,TRUE,2
22,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.784596598135516,TRUE,2
23,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.379616419752531,TRUE,2
24,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.577363082256222,TRUE,2
25,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.2175270459497245,TRUE,2
26,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.5964959713530575,TRUE,2
27,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.754706769036119,TRUE,2
28,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.33682039135793,TRUE,2
29,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.2866945497727285,TRUE,2
30,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.578120411137319,TRUE,2
31,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.46260851137854,TRUE,2
32,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.550750417084356,TRUE,2
33,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.505352980773548,TRUE,2
34,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.778527873120847,TRUE,2
35,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation (select mu, eta interactions)",---,5.365022086396734,TRUE,2
