sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,true_att
1,1,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05810777546329569,0.0049611529261843835,-0.050997063355465264
1,2,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.049185400555039394,0.0041743583088589345,-0.050997063355465264
1,3,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05328292637170607,0.004416898188031244,-0.050997063355465264
1,4,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.051850863903652296,0.004688859218118938,-0.050997063355465264
1,5,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.050948751426673156,0.004326074822476478,-0.050997063355465264
1,6,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.051217429620844204,0.004502275501113446,-0.050997063355465264
1,7,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.04752284633913112,0.004353777653060508,-0.050997063355465264
1,8,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.050066937224191026,0.004934412981591959,-0.050997063355465264
1,9,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05095153101023414,0.004847657657058011,-0.050997063355465264
1,10,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.037995139591536047,0.004582730739001156,-0.050997063355465264
1,11,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05549868500249647,0.004606289149309093,-0.050997063355465264
1,12,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.057892285821208554,0.004434675969294369,-0.050997063355465264
1,13,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.04123511714207736,0.004917604566226995,-0.050997063355465264
1,14,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05100048578070106,0.004422815313856082,-0.050997063355465264
1,15,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.0495121621550614,0.004440666779940141,-0.050997063355465264
1,16,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05694039137724771,0.004437988805101439,-0.050997063355465264
1,17,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.054782632582915054,0.00449706605579585,-0.050997063355465264
1,18,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.048777343071931066,0.004478103249386547,-0.050997063355465264
1,19,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.04725589123075057,0.004961695848874274,-0.050997063355465264
1,20,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.052910676018140076,0.0045137493745784655,-0.050997063355465264
1,21,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.04339322719305854,0.004717372672656056,-0.050997063355465264
1,22,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05216508500294048,0.004295389962497556,-0.050997063355465264
1,23,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.04627998266222656,0.004666936903313059,-0.050997063355465264
1,24,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05282754423231068,0.004975825378465189,-0.050997063355465264
1,25,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05327566141609954,0.004849643070259675,-0.050997063355465264
1,26,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.049224373087651735,0.00442755193577576,-0.050997063355465264
1,27,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05085064821378733,0.005267241978739028,-0.050997063355465264
1,28,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.05070410448668013,0.00449104634447435,-0.050997063355465264
1,29,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.049858714644634566,0.004718234242803395,-0.050997063355465264
1,30,influence_function,IF estimator w/ true parametric models based on liklihood factorization,pi/eta/lambda/mu,-0.046709240178197435,0.004894400297536939,-0.050997063355465264
