sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,true_att
1,1,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.057125156665301755,0.006714540346978222,-0.050997063355465264
1,2,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05282603920915277,0.004409170759264454,-0.050997063355465264
1,3,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.054824671353335706,0.004664009725656487,-0.050997063355465264
1,4,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.050044043244788033,0.0047604602474636114,-0.050997063355465264
1,5,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05586301386053262,0.004548615983153667,-0.050997063355465264
1,6,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.0502058052017383,0.005029809855684102,-0.050997063355465264
1,7,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05020250493027748,0.004621774973088957,-0.050997063355465264
1,8,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04761203975794056,0.005164155296007833,-0.050997063355465264
1,9,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.053688870194662175,0.005206385989861927,-0.050997063355465264
1,10,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.03594886042820828,0.004602805264592726,-0.050997063355465264
1,11,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.056623870463520694,0.005513137635240081,-0.050997063355465264
1,12,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05877654151149102,0.004320270510832625,-0.050997063355465264
1,13,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04271600245906463,0.007966187787615297,-0.050997063355465264
1,14,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04780726485312436,0.004834750005985381,-0.050997063355465264
1,15,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05264112483967335,0.0046525241526772275,-0.050997063355465264
1,16,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.055817100413107175,0.004881461679070314,-0.050997063355465264
1,17,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05810000451707072,0.0042978405198044805,-0.050997063355465264
1,18,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05049870203214118,0.004844248034789142,-0.050997063355465264
1,19,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04606072680584637,0.00609825757266413,-0.050997063355465264
1,20,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04566148245872275,0.005096830114967715,-0.050997063355465264
1,21,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.042177517493733094,0.005432169774347025,-0.050997063355465264
1,22,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.050758932548071935,0.0057811529239718655,-0.050997063355465264
1,23,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04870111716098288,0.004429096879800525,-0.050997063355465264
1,24,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05421548472885618,0.004997572408395426,-0.050997063355465264
1,25,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.052844986858240905,0.00543576678009757,-0.050997063355465264
1,26,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05447697657217165,0.0044950820621633995,-0.050997063355465264
1,27,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.050715942370688695,0.005485237419314216,-0.050997063355465264
1,28,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.055083522011451135,0.004600248594721138,-0.050997063355465264
1,29,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.0431310201681919,0.0070490074618549305,-0.050997063355465264
1,30,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04945836669233033,0.004692539386533905,-0.050997063355465264
1,31,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04989624378677145,0.00519760161336865,-0.050997063355465264
1,32,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04548662987698941,0.005350098403544574,-0.050997063355465264
1,33,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.053162106574992596,0.004708305541645799,-0.050997063355465264
1,34,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.053676933599664634,0.004940895870615097,-0.050997063355465264
1,35,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04689817119810412,0.004882296724624545,-0.050997063355465264
1,36,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04571878989134358,0.005296035495171414,-0.050997063355465264
1,37,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05718095887809928,0.004486244704379746,-0.050997063355465264
1,38,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04925468262017493,0.00485019007099179,-0.050997063355465264
1,39,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.043891424977570356,0.005360238163535814,-0.050997063355465264
1,40,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.050697249745127744,0.0078907222177659,-0.050997063355465264
1,41,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04870213317345641,0.004603813334729986,-0.050997063355465264
1,42,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05176601120519992,0.0053362958938667215,-0.050997063355465264
1,43,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.0499255295655238,0.00470106494926839,-0.050997063355465264
1,44,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05089957411539038,0.005713423360103942,-0.050997063355465264
1,45,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05364178341078483,0.005285955445614372,-0.050997063355465264
1,46,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05749761833930008,0.004197390848230541,-0.050997063355465264
1,47,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04797273553559855,0.0049714126616357025,-0.050997063355465264
1,48,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.052179427707668584,0.004978065935430937,-0.050997063355465264
1,49,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04887993153660773,0.00470052055948147,-0.050997063355465264
1,50,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05193835914054538,0.00467517910105459,-0.050997063355465264
1,51,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.051035028226451395,0.004616645781352213,-0.050997063355465264
1,52,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.045195909175087645,0.005193760401001426,-0.050997063355465264
1,53,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.0528689375312329,0.004774088204241053,-0.050997063355465264
1,54,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.049764403652413546,0.004382521386280653,-0.050997063355465264
1,55,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.042314666497534036,0.005470298523937539,-0.050997063355465264
1,56,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.055010772518271495,0.0046279566042695935,-0.050997063355465264
1,57,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05398184605572858,0.004981103561056191,-0.050997063355465264
1,58,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05510607051677229,0.005263991889414233,-0.050997063355465264
1,59,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.048077583401670246,0.004376395413937637,-0.050997063355465264
1,60,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.053067315214324395,0.0047735093349348225,-0.050997063355465264
1,61,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04254940800521379,0.015805231893411927,-0.050997063355465264
1,62,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04415382814563621,0.005495194720455593,-0.050997063355465264
1,63,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.04837801166712108,0.0049374081643685595,-0.050997063355465264
1,64,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05012759737874877,0.004269252552890357,-0.050997063355465264
1,65,influence_function,IF estimator w/ non-parametric nuisance fx estimation,---,-0.05065014544230242,0.005233581557693063,-0.050997063355465264
