sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,matched_cohort,true_att
7,1,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04655437936955224,0.0038270580782555543,TRUE,-0.04858644632938813
7,2,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04210089370622043,0.0034580184368216494,TRUE,-0.04858644632938813
7,3,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.049565620601791156,0.0032961028347133258,TRUE,-0.04858644632938813
7,4,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04365689643091511,0.0038215590606622304,TRUE,-0.04858644632938813
7,5,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.05019992217653904,0.0035969924662792915,TRUE,-0.04858644632938813
7,6,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04724633061852394,0.0035089784810962573,TRUE,-0.04858644632938813
7,7,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.046155465027451624,0.0035700373264018898,TRUE,-0.04858644632938813
7,8,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04649639967901668,0.0035350426928885364,TRUE,-0.04858644632938813
7,9,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.047165754975882955,0.003575188774209984,TRUE,-0.04858644632938813
7,10,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.042900040589183876,0.0034800839099069355,TRUE,-0.04858644632938813
7,11,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.043300000218226095,0.003682866081826119,TRUE,-0.04858644632938813
7,12,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.0496475034562485,0.0033479013209600406,TRUE,-0.04858644632938813
7,13,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04623348112332692,0.0036043970003885608,TRUE,-0.04858644632938813
7,14,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.05469165377720365,0.0035880964404192773,TRUE,-0.04858644632938813
7,15,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04839023125484801,0.003533176616062968,TRUE,-0.04858644632938813
7,16,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04424391584214462,0.0036934725771539914,TRUE,-0.04858644632938813
7,17,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.051332930393729825,0.0037167967181667536,TRUE,-0.04858644632938813
7,18,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.05097150654112389,0.003407580119019553,TRUE,-0.04858644632938813
7,19,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04579079953849485,0.0037452658101739945,TRUE,-0.04858644632938813
7,20,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.05596693725252734,0.003909739771763205,TRUE,-0.04858644632938813
7,21,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04841166655456377,0.0037669639332148577,TRUE,-0.04858644632938813
7,22,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.05011091699660153,0.0033879636964823925,TRUE,-0.04858644632938813
7,23,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, treatment interactions in outcome model",---,-0.04439895527961355,0.00354235003885322,TRUE,-0.04858644632938813
