sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,true_att
1,1,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05958852432130917,0.006141676161092017,-0.050997063355465264
1,2,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05191321778853713,0.004434728457553019,-0.050997063355465264
1,3,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05428043727953954,0.004630186529138827,-0.050997063355465264
1,4,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05048612510195038,0.004773016085261236,-0.050997063355465264
1,5,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05425827770340638,0.004460800520056965,-0.050997063355465264
1,6,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05090082061481473,0.005132088125380174,-0.050997063355465264
1,7,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.049195250227066646,0.004548511262983283,-0.050997063355465264
1,8,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.047373052081941966,0.005188971819585597,-0.050997063355465264
1,9,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.054559876301987206,0.004922483889689898,-0.050997063355465264
1,10,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.036202985797511335,0.004550204446109653,-0.050997063355465264
1,11,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05647365070003454,0.005204689577074459,-0.050997063355465264
1,12,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.05684071171909274,0.004351359458580297,-0.050997063355465264
1,13,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.043349290146743914,0.007807688505027919,-0.050997063355465264
1,14,influence_function,"IF estimator w/ non-parametric nuisance fx estimation, removing LM/GLM candidates from SuperLearners",---,-0.047768988240665146,0.004808425554687013,-0.050997063355465264
