sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,matched_cohort,true_att
4,1,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04026898949720046,0.006507486367639869,TRUE,-0.04858644632938813
4,2,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0476312860609196,0.0049702062039601634,TRUE,-0.04858644632938813
4,3,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05394467840927062,0.005840561161892057,TRUE,-0.04858644632938813
4,4,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.042536228728245085,0.007776359644221128,TRUE,-0.04858644632938813
4,5,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.051380954799162895,0.005749041392548679,TRUE,-0.04858644632938813
4,6,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04659512326925104,0.005771338596502983,TRUE,-0.04858644632938813
4,7,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04708124695368472,0.005531790412001207,TRUE,-0.04858644632938813
4,8,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05524662994821407,0.010211985976291742,TRUE,-0.04858644632938813
4,9,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05302942001046548,0.006312254254272627,TRUE,-0.04858644632938813
4,10,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04975010466572902,0.00522905136636708,TRUE,-0.04858644632938813
4,11,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04592166430881612,0.006024940218577209,TRUE,-0.04858644632938813
4,12,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.049085566671264305,0.005238900230513907,TRUE,-0.04858644632938813
4,13,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04767562750046947,0.0050212959820524925,TRUE,-0.04858644632938813
4,14,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05055940132334004,0.00544220736764773,TRUE,-0.04858644632938813
4,15,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.044213563230660516,0.0055277628577770025,TRUE,-0.04858644632938813
4,16,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05233295508938544,0.005827391459153794,TRUE,-0.04858644632938813
4,17,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05720968765357723,0.006390708848499521,TRUE,-0.04858644632938813
4,18,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05676643340927673,0.005827988725723337,TRUE,-0.04858644632938813
4,19,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04686058084083505,0.005679750076336426,TRUE,-0.04858644632938813
4,20,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.046913998905333015,0.004941728551239086,TRUE,-0.04858644632938813
4,21,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.051285323146062774,0.006542936274378518,TRUE,-0.04858644632938813
4,22,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04423298988481266,0.006431375540236984,TRUE,-0.04858644632938813
4,23,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05665480995821097,0.00641104976746519,TRUE,-0.04858644632938813
4,24,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.046810242042176924,0.006222006051583926,TRUE,-0.04858644632938813
4,25,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05671897171726117,0.006163557859907702,TRUE,-0.04858644632938813
4,26,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.044896403875121955,0.006769385557393552,TRUE,-0.04858644632938813
4,27,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05687909250124618,0.006702390003021889,TRUE,-0.04858644632938813
4,28,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05128160778855625,0.0058101145333488945,TRUE,-0.04858644632938813
4,29,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05162435322405698,0.0059038338957509194,TRUE,-0.04858644632938813
4,30,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05511267743916679,0.005334791333199037,TRUE,-0.04858644632938813
4,31,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05905536309035349,0.005784086830825503,TRUE,-0.04858644632938813
4,32,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05222729903992672,0.0061872069218974375,TRUE,-0.04858644632938813
4,33,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05344232369554495,0.005941509149770705,TRUE,-0.04858644632938813
4,34,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04474043026050137,0.0061066025174789955,TRUE,-0.04858644632938813
4,35,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.050802965527944506,0.006440377339741384,TRUE,-0.04858644632938813
4,36,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.041012028362789534,0.005387161500217861,TRUE,-0.04858644632938813
4,37,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.047255649692387686,0.006024462156483908,TRUE,-0.04858644632938813
4,38,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05578763636730119,0.006802058119004674,TRUE,-0.04858644632938813
4,39,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0469666309422554,0.007019403640679547,TRUE,-0.04858644632938813
4,40,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05409966527055871,0.006623219526679936,TRUE,-0.04858644632938813
4,41,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04499103047367632,0.005273805342218808,TRUE,-0.04858644632938813
4,42,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05184893584274342,0.005780347581050569,TRUE,-0.04858644632938813
4,43,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05162327785855025,0.005672900133620819,TRUE,-0.04858644632938813
4,44,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0576178163349099,0.007570217108769856,TRUE,-0.04858644632938813
4,45,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.03962511890486888,0.007354293844465883,TRUE,-0.04858644632938813
4,46,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.048463940791569,0.005184533031393019,TRUE,-0.04858644632938813
4,47,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.041281050535718886,0.007558158822244597,TRUE,-0.04858644632938813
4,48,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.047658339389986835,0.005573124752074855,TRUE,-0.04858644632938813
4,49,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.060234230877461714,0.006227549954801765,TRUE,-0.04858644632938813
4,50,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04852555594191801,0.005692994665172389,TRUE,-0.04858644632938813
4,51,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04890513880911508,0.0057979191659043635,TRUE,-0.04858644632938813
4,52,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05346076477154658,0.005985209672152829,TRUE,-0.04858644632938813
4,53,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04427475107334252,0.006513269326962408,TRUE,-0.04858644632938813
4,54,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0466469266903667,0.005580022668365725,TRUE,-0.04858644632938813
4,55,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04635939734899607,0.0055002903598185965,TRUE,-0.04858644632938813
4,56,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.043407188546398114,0.005385360408555843,TRUE,-0.04858644632938813
4,57,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.043008305123160125,0.005876649528843496,TRUE,-0.04858644632938813
4,58,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04190539613440062,0.007337363994726127,TRUE,-0.04858644632938813
4,59,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05705521673596726,0.0053265851045345095,TRUE,-0.04858644632938813
4,60,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.045973240501732654,0.006091938962649403,TRUE,-0.04858644632938813
4,61,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.03772436823971251,0.006319143189668316,TRUE,-0.04858644632938813
4,62,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.049290417436367986,0.0055135871744422926,TRUE,-0.04858644632938813
4,63,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.036832210264868985,0.006311132229884296,TRUE,-0.04858644632938813
4,64,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.055368661036886674,0.006341815986386761,TRUE,-0.04858644632938813
4,65,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.042374777872511184,0.0055069343848176185,TRUE,-0.04858644632938813
4,66,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.054356460526882526,0.006579218413407107,TRUE,-0.04858644632938813
4,67,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05832934097720982,0.006140643554593912,TRUE,-0.04858644632938813
4,68,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.03408097223150255,0.005401431339564831,TRUE,-0.04858644632938813
4,69,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.044587601557896074,0.006332432918216168,TRUE,-0.04858644632938813
4,70,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.057077742997145686,0.00560592551896574,TRUE,-0.04858644632938813
4,71,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.053679780055851,0.005858905458650812,TRUE,-0.04858644632938813
4,72,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0606819280630185,0.006390158830410442,TRUE,-0.04858644632938813
4,73,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05517198252713375,0.005645626231801936,TRUE,-0.04858644632938813
4,74,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05411639384398789,0.005232459539688138,TRUE,-0.04858644632938813
4,75,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04472136835430182,0.005340068191770396,TRUE,-0.04858644632938813
4,76,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.08345807968029702,0.04104357693021603,TRUE,-0.04858644632938813
4,77,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.055933665430972,0.005780934524504773,TRUE,-0.04858644632938813
4,78,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04557922805412369,0.005653669317882304,TRUE,-0.04858644632938813
4,79,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.03934387671372252,0.006009101216273589,TRUE,-0.04858644632938813
4,80,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0390142079269646,0.006272553731255909,TRUE,-0.04858644632938813
4,81,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05383005075109468,0.005576280099922441,TRUE,-0.04858644632938813
4,82,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05269253498688842,0.005796119371491471,TRUE,-0.04858644632938813
4,83,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05028478652251449,0.007113400233368956,TRUE,-0.04858644632938813
4,84,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04977967420006067,0.005590824770514414,TRUE,-0.04858644632938813
4,85,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0501782513480006,0.00619356928839564,TRUE,-0.04858644632938813
4,86,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.037523904938726454,0.0060398190551731136,TRUE,-0.04858644632938813
4,87,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04321892663212578,0.005177251233765784,TRUE,-0.04858644632938813
4,88,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.054213432335652074,0.005050977059241964,TRUE,-0.04858644632938813
