sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,matched_cohort,true_att
5,1,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04605663181873934,0.0037225521362662683,TRUE,-0.04858644632938813
5,2,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04129464284973223,0.004213746175851261,TRUE,-0.04858644632938813
5,3,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.050159859308164766,0.0033539342628353054,TRUE,-0.04858644632938813
5,4,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.047742379180030076,0.003780800971395676,TRUE,-0.04858644632938813
5,5,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05350006673832048,0.0038239004245282917,TRUE,-0.04858644632938813
5,6,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05123738756095021,0.0038520428761122404,TRUE,-0.04858644632938813
5,7,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04336000288584643,0.003451835498776726,TRUE,-0.04858644632938813
5,8,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04351061739542005,0.0035961740578818215,TRUE,-0.04858644632938813
5,9,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04515180794638897,0.0036327306651574294,TRUE,-0.04858644632938813
5,10,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.043787492568495845,0.0034233143451134315,TRUE,-0.04858644632938813
5,11,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.044996406419620986,0.0037047617046341934,TRUE,-0.04858644632938813
5,12,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05247958946720813,0.0034139694129936443,TRUE,-0.04858644632938813
5,13,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.043244662213711565,0.0035640562112318128,TRUE,-0.04858644632938813
5,14,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05196780897499981,0.0037174765517934867,TRUE,-0.04858644632938813
5,15,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.049592561837685116,0.003699328918076164,TRUE,-0.04858644632938813
5,16,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04591125279486667,0.0034972467053308314,TRUE,-0.04858644632938813
5,17,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05095315807965385,0.003615982651143514,TRUE,-0.04858644632938813
5,18,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05141711662279781,0.003677997656021577,TRUE,-0.04858644632938813
5,19,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04436211532410014,0.0035421433875931067,TRUE,-0.04858644632938813
5,20,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04928374448526685,0.0037862007893329926,TRUE,-0.04858644632938813
5,21,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04918907521642562,0.0038810565073264676,TRUE,-0.04858644632938813
5,22,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05038343153458169,0.0034065879287626384,TRUE,-0.04858644632938813
5,23,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04662565331515522,0.003512373361619621,TRUE,-0.04858644632938813
5,24,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05509389433212686,0.0036097729073216603,TRUE,-0.04858644632938813
5,25,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.051793997660672476,0.003658108123929634,TRUE,-0.04858644632938813
5,26,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.042118284800821054,0.0036124724775547638,TRUE,-0.04858644632938813
5,27,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.056674502609830056,0.004116933208841272,TRUE,-0.04858644632938813
5,28,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04712848735984077,0.003498085195412953,TRUE,-0.04858644632938813
5,29,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05196146104886267,0.003737099221250712,TRUE,-0.04858644632938813
5,30,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.050204315898158866,0.003877692338220164,TRUE,-0.04858644632938813
5,31,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05586673384422802,0.0035731386383890374,TRUE,-0.04858644632938813
5,32,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04900468631748989,0.003444280918135486,TRUE,-0.04858644632938813
5,33,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04841922173415764,0.0035402827861694057,TRUE,-0.04858644632938813
5,34,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04947672578452343,0.0038462559106425325,TRUE,-0.04858644632938813
5,35,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05629624408312978,0.004172072482348503,TRUE,-0.04858644632938813
5,36,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.042849893865020285,0.0037188819863145156,TRUE,-0.04858644632938813
5,37,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04861039331960766,0.0036518861440394987,TRUE,-0.04858644632938813
5,38,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.044819221777684055,0.00428288880105693,TRUE,-0.04858644632938813
5,39,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05546132604210957,0.003484508878302368,TRUE,-0.04858644632938813
5,40,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05240300310677896,0.0036526836462957898,TRUE,-0.04858644632938813
5,41,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.0495665297040086,0.003510010738717127,TRUE,-0.04858644632938813
5,42,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04688446258404027,0.003583345894827978,TRUE,-0.04858644632938813
5,43,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.047698898429225235,0.004299837363594278,TRUE,-0.04858644632938813
5,44,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04691254124136252,0.0037430842006675714,TRUE,-0.04858644632938813
5,45,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04538901182651715,0.003478783303991388,TRUE,-0.04858644632938813
5,46,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.054758585631878076,0.0035551004606850785,TRUE,-0.04858644632938813
5,47,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05027951640460437,0.003736967809164936,TRUE,-0.04858644632938813
5,48,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05406329094794966,0.0035640616651622364,TRUE,-0.04858644632938813
5,49,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05289056460507621,0.0034981149684755455,TRUE,-0.04858644632938813
5,50,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04146188883830224,0.003759653207240898,TRUE,-0.04858644632938813
5,51,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05280205678945347,0.003346813346489281,TRUE,-0.04858644632938813
5,52,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04581867736982999,0.003716698737124262,TRUE,-0.04858644632938813
5,53,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.045193236116897136,0.0037917584096110965,TRUE,-0.04858644632938813
5,54,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05192045667147311,0.0036325221561641133,TRUE,-0.04858644632938813
5,55,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.05200953141662688,0.003736666744809498,TRUE,-0.04858644632938813
5,56,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.049912475462459645,0.0033086211571337464,TRUE,-0.04858644632938813
5,57,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.043160906216573126,0.0034026255940041755,TRUE,-0.04858644632938813
5,58,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04574642779455839,0.003897302858649874,TRUE,-0.04858644632938813
5,59,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu",---,-0.04641732527014581,0.0034326002317416155,TRUE,-0.04858644632938813
