sim_id,dataset_id,estimator,description,correct_models,tau_hat,sd,matched_cohort,true_att
6,1,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.039222581133784885,0.005721241103202413,TRUE,-0.04858644632938813
6,2,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04695062728673127,0.005537988786626968,TRUE,-0.04858644632938813
6,3,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.05847839472572105,0.0059956062318072025,TRUE,-0.04858644632938813
6,4,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.043626072788953994,0.006503522957877284,TRUE,-0.04858644632938813
6,5,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.05139049566700071,0.005917005745234504,TRUE,-0.04858644632938813
6,6,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04460186998156966,0.006037783439734384,TRUE,-0.04858644632938813
6,7,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04643998612249818,0.005737631692474788,TRUE,-0.04858644632938813
6,8,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04342990845349291,0.017141425926787038,TRUE,-0.04858644632938813
6,9,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04632299729291031,0.005523352229227347,TRUE,-0.04858644632938813
6,10,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.055930565574832294,0.006849931962891529,TRUE,-0.04858644632938813
6,11,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.055142842514129736,0.005864784097709686,TRUE,-0.04858644632938813
6,12,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.0481616801667611,0.005325523071554783,TRUE,-0.04858644632938813
6,13,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.047150273933248665,0.00514427347771514,TRUE,-0.04858644632938813
6,14,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04590181428717362,0.00608205463058785,TRUE,-0.04858644632938813
6,15,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.036886497868817716,0.005595989829784498,TRUE,-0.04858644632938813
6,16,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.04685693148426146,0.007280170004353849,TRUE,-0.04858644632938813
6,17,efficient_influence_function,"EIF estimator w/ non-parametric nuisance fx estimation, stratify estimation of mu, removing LM/GLM candidates from SuperLearners",---,-0.0643510488311482,0.0058689942590822225,TRUE,-0.04858644632938813
