sim_id,dataset_id,estimator,description,correct_models,tau_hat,true_att
1,1,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.06065983072468827,-0.050997063355465264
1,2,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05057184995359905,-0.050997063355465264
1,3,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.054110191839910324,-0.050997063355465264
1,4,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05467567184184084,-0.050997063355465264
1,5,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05261856404432987,-0.050997063355465264
1,6,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.054844337395647896,-0.050997063355465264
1,7,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05344972931359109,-0.050997063355465264
1,8,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.050919220461761276,-0.050997063355465264
1,9,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.0532242793497062,-0.050997063355465264
1,10,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.03753347257534407,-0.050997063355465264
1,11,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05834268104055327,-0.050997063355465264
1,12,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.06028903915270391,-0.050997063355465264
1,13,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.04777193030921832,-0.050997063355465264
1,14,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05602752289824298,-0.050997063355465264
1,15,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05283739898209339,-0.050997063355465264
1,16,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.058687183546290066,-0.050997063355465264
1,17,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.055688250369086915,-0.050997063355465264
1,18,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.0526981234968839,-0.050997063355465264
1,19,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.0509818607393951,-0.050997063355465264
1,20,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05161628542596355,-0.050997063355465264
1,21,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.04459003421349897,-0.050997063355465264
1,22,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05668596952171914,-0.050997063355465264
1,23,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.04932718332494407,-0.050997063355465264
1,24,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05116216865262651,-0.050997063355465264
1,25,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.0552982621646343,-0.050997063355465264
1,26,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05067853377797356,-0.050997063355465264
1,27,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.053497036615538264,-0.050997063355465264
1,28,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.049538560900944766,-0.050997063355465264
1,29,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05867733535763079,-0.050997063355465264
1,30,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05004560102064812,-0.050997063355465264
1,31,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.048954921036535856,-0.050997063355465264
1,32,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.04761227087304194,-0.050997063355465264
1,33,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.051519713327440424,-0.050997063355465264
1,34,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.05720922094958399,-0.050997063355465264
1,35,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.045972213889674034,-0.050997063355465264
1,36,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.048719560486687706,-0.050997063355465264
1,37,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.054311328392293225,-0.050997063355465264
1,38,crossfit_iwor_cc,"Inverse Weighted Outcome Regression w/ Flexible mu/eta, stratify estimation of mu",---,-0.051864209760296126,-0.050997063355465264
